Date;SAS_GPL;SAS_TTF;SAS_NCG;SAS_NBP
10/03/2015;-1.15733333;-1.09433333;-1.11933333;-5.58327536
11/03/2015;-0.881;-0.818;-0.843;-10.39936058
12/03/2015;-0.9805;-0.9175;-0.9425;29.72374759
13/03/2015;-1.0905;-1.0275;-1.0525;30.07677042
16/03/2015;-1.02983333;-0.90483333;-1.10483333;42.9659494
17/03/2015;-1.1205;-0.9955;-1.1955;30.14409784
18/03/2015;-1.223;-1.098;-1.298;30.05595035
19/03/2015;-1.24133333;-1.11633333;-1.31633333;21.4093198
20/03/2015;-1.4885;-1.3635;-1.5635;8.28831839
23/03/2015;-1.35883333;-1.37183333;-1.37183333;-9.90090577
24/03/2015;-1.2;-1.213;-1.213;42.1392647
25/03/2015;-1.20733333;-1.22033333;-1.22033333;-11.35361287
26/03/2015;-1.273;-1.286;-1.286;16.22128973
27/03/2015;-1.16333333;-1.17633333;-1.17633333;16.34472405
30/03/2015;-1.224;-1.224;-1.261;-6.88595507
31/03/2015;-1.16816667;-1.14316667;-1.18016667;-22.71984917
01/04/2015;-0.98333333;-0.95833333;-0.99533333;0.03749277
02/04/2015;-0.88866667;-0.86366667;-0.90066667;31.70445962
06/04/2015;-0.88866667;-0.86366667;-0.90066667;-17.4246282
07/04/2015;-1.16983333;-0.99483333;-1.04483333;20.08781413
08/04/2015;-1.13133333;-0.95633333;-1.00633333;-23.95440784
09/04/2015;-1.05783333;-0.88283333;-0.93283333;33.99948344
10/04/2015;-1.12216667;-0.94716667;-0.99716667;-14.00752827
13/04/2015;-1.08333333;-0.98333333;-1.17033333;-12.4716066
14/04/2015;-1.21;-1.11;-1.297;-15.32913645
15/04/2015;-1.17516667;-1.07516667;-1.26216667;-15.43278428
16/04/2015;-1.29;-1.19;-1.377;-16.52715887
17/04/2015;-1.33366667;-1.23366667;-1.42066667;2.51853031
20/04/2015;-1.3845;-1.2345;-1.4095;-15.43200165
21/04/2015;-1.28533333;-1.13533333;-1.31033333;8.80721801
22/04/2015;-1.29633333;-1.14633333;-1.32133333;-7.55530799
23/04/2015;-1.39233333;-1.24233333;-1.41733333;-10.54999382
24/04/2015;-1.40316667;-1.25316667;-1.42816667;-6.74725278
27/04/2015;-1.332;-1.182;-1.357;-17.43110473
28/04/2015;-1.26466667;-1.22666667;-1.48966667;-2.87043028
29/04/2015;-1.55316667;-1.41516667;-1.45316667;-0.80314277
30/04/2015;-1.4795;-1.4045;-1.5165;-21.6353962
01/05/2015;-1.47633333;-1.40133333;-1.51333333;13.56631517
04/05/2015;-1.40133333;-1.40133333;-1.55133333;-15.94928011
05/05/2015;-1.54966667;-1.54966667;-1.69966667;-3.62890725
06/05/2015;-1.57666667;-1.57666667;-1.72666667;4.28099128
07/05/2015;-1.62233333;-1.62233333;-1.77233333;0.70555973
08/05/2015;-1.61283333;-1.61283333;-1.76283333;-1.24744056
11/05/2015;-1.49666667;-1.53466667;-1.55966667;-0.70366532
12/05/2015;-1.51116667;-1.54916667;-1.57416667;-12.10171769
13/05/2015;-1.48416667;-1.52216667;-1.54716667;2.66551139
14/05/2015;-1.59066667;-1.62866667;-1.65366667;28.58741803
15/05/2015;-1.53266667;-1.57066667;-1.59566667;12.78767674
18/05/2015;-1.57766667;-1.56466667;-1.65266667;-21.55713855
19/05/2015;-1.54033333;-1.52733333;-1.61533333;-14.52094953
20/05/2015;-1.58183333;-1.56883333;-1.65683333;1.84803536
21/05/2015;-1.5885;-1.5755;-1.6635;8.72705664
22/05/2015;-1.5515;-1.5385;-1.6265;20.84592986
25/05/2015;-1.7255;-1.5385;-1.5635;-20.63792293
26/05/2015;-1.6175;-1.4305;-1.4555;-3.91588473
27/05/2015;-1.5255;-1.3385;-1.3635;-0.36978131
28/05/2015;-1.593;-1.456;-1.481;17.04711767
29/05/2015;-1.36783333;-1.50483333;-1.40483333;17.02618613
01/06/2015;-1.4755;-1.4885;-1.5135;2.7332443
02/06/2015;-1.3925;-1.4055;-1.4305;5.6036829
03/06/2015;-1.39816667;-1.41116667;-1.43616667;3.99486057
04/06/2015;-1.3895;-1.4025;-1.4275;11.68336867
05/06/2015;-1.3755;-1.3885;-1.4135;6.58833674
08/06/2015;-1.46;-1.373;-1.348;-6.46382302
09/06/2015;-1.5285;-1.4415;-1.4165;-10.80727488
10/06/2015;-1.49616667;-1.40916667;-1.38416667;0.60000918
11/06/2015;-1.545;-1.458;-1.433;8.21993997
12/06/2015;-1.57266667;-1.48566667;-1.46066667;30.92349655
15/06/2015;-1.382;-1.432;-1.507;5.01657699
16/06/2015;-1.33733333;-1.38733333;-1.46233333;-6.00445905
17/06/2015;-1.37783333;-1.42783333;-1.50283333;-2.6327868
