Date (CET);LDZ;Actual;Normal
18/03/2016;304.3984908;10.03846154;4.898148241
19/03/2016;267.4249652;13.37292707;5.032487819
20/03/2016;226.4659818;12.26563437;5.168159005
21/03/2016;338.502871;8.027972028;5.305121598
22/03/2016;412.3760912;5.823276723;5.443335011
23/03/2016;465.7578306;4.347152847;5.58275829
24/03/2016;473.0740442;4.193806194;5.723350119
25/03/2016;445.2647944;5.504595405;5.86506884
26/03/2016;382.383706;7.237762238;6.007872458
27/03/2016;346.4435052;7.914285714;6.151718656
28/03/2016;309.2687692;10.38451548;6.29656481
29/03/2016;278.6919532;12.14205794;6.442367999
30/03/2016;283.1440088;11.41668332;6.589085018
31/03/2016;283.729048;11.15224775;6.736672392
01/04/2016;245.1890432;13.02027972;6.885086388
02/04/2016;231.3023638;13.34955045;7.034283028
03/04/2016;240.9687376;11.04735265;7.1842181
04/04/2016;265.4638726;10.76223776;7.334847177
05/04/2016;220.3341402;13.05134865;7.486125623
06/04/2016;196.199683;15.9048951;7.638008611
07/04/2016;238.5725752;11.42257742;7.790451136
08/04/2016;335.5269504;8.881418581;7.943408025
09/04/2016;301.8997362;9.344355644;8.096833954
10/04/2016;276.626896;10.41258741;8.250683459
11/04/2016;258.674978;10.79450549;8.404910951
12/04/2016;244.464569;11.18871129;8.55947073
13/04/2016;341.2490046;7.975824176;8.714316996
14/04/2016;414.246172;6.343056943;8.869403865
15/04/2016;395.488268;7.184415584;9.024685382
16/04/2016;350.6351662;9.416583417;9.180115532
17/04/2016;382.7938004;7.628271728;9.335648259
18/04/2016;330.5271792;10.64665335;9.491237474
19/04/2016;218.7564834;14.20519481;9.646837075
20/04/2016;250.982986;12.49110889;9.802400952
21/04/2016;218.4657304;13.87352647;9.957883009
22/04/2016;208.8782504;14.10839161;10.11323717
23/04/2016;218.7803352;13.51178821;10.26841741
24/04/2016;175.5581318;16.00919081;10.42337774
25/04/2016;174.8899576;15.41988012;10.57807224
26/04/2016;240.1834056;13.12467532;10.73245507
27/04/2016;236.0792746;13.44935065;10.88648048
28/04/2016;209.6282504;14.24515485;11.04010284
29/04/2016;207.2077058;14.67992008;11.19327662
30/04/2016;229.0475188;13.15384615;11.34595644
01/05/2016;314.323034;8.316283716;11.49809704
02/05/2016;375.8589526;7.7996004;11.64965336
03/05/2016;349.444509;7.960739261;11.80058047
04/05/2016;294.3372648;10.5032967;11.95083366
05/05/2016;218.420939;14.25054945;12.1003684
06/05/2016;199.746365;13.0992008;12.24914039
07/05/2016;218.693738;12.61048951;12.39710553
08/05/2016;197.62627;13.32537463;12.54421999
09/05/2016;232.5720244;12.5022977;12.69044017
10/05/2016;267.830976;11.59340659;12.83572274
11/05/2016;312.690496;10.45804196;12.98002465
12/05/2016;305.1246184;10.26553447;13.12330314
13/05/2016;304.1810878;9.481118881;13.26551576
14/05/2016;303.1624354;10.15334665;13.40662036
15/05/2016;247.3787332;12.13266733;13.54657513
16/05/2016;222.2452252;13.12707293;13.68533861
17/05/2016;223.0781378;13.34095904;13.82286966
18/05/2016;190.1552634;15.68711289;13.95912755
19/05/2016;163.0759752;19.54235764;14.09407188
20/05/2016;144.7028674;21.53656344;14.22766268
21/05/2016;124.5670664;22.03546454;14.35986037
22/05/2016;152.4895686;17.06493506;14.49062575
23/05/2016;176.2689312;16.05584416;14.6199201
24/05/2016;173.3366168;17.83616384;14.74770509
25/05/2016;158.3936582;17.85054945;14.87394286
26/05/2016;173.851907;14.7954046;14.998596
27/05/2016;230.2857516;11.64885115;15.12162758
28/05/2016;251.1808536;10.62537463;15.24300114
29/05/2016;269.3854412;12.16703297;15.36268071
30/05/2016;230.6187834;13.82277722;15.48063083
31/05/2016;207.3645588;;15.59681655
01/06/2016;189.1555974;14.85164835;15.71120343
02/06/2016;181.8500636;16.11198801;15.82375759
03/06/2016;179.259554;16.91538462;15.93444568
04/06/2016;180.4217762;14.98911089;16.04323488
05/06/2016;185.4420784;17.98981019;16.15009298
06/06/2016;143.9742428;21.98031968;16.25498829
07/06/2016;120.5215034;23.93866134;16.35788974
08/06/2016;118.2580196;23.68831169;16.45876684
09/06/2016;114.0230966;24.22897103;16.5575897
10/06/2016;114.5152498;21.24445554;16.65432903
11/06/2016;120.651728;19.01828172;16.74895616
12/06/2016;132.147342;17.18471528;16.84144306
13/06/2016;156.6301916;15.67832168;16.93176232
14/06/2016;176.8316028;16.14705295;17.01988718
15/06/2016;161.5078984;15.7036963;17.10579152
16/06/2016;161.438985;17.03376623;17.18944988
17/06/2016;159.9525202;17.17772228;17.27083749
18/06/2016;150.1702522;15.67522478;17.34993021
19/06/2016;172.6488674;14.66813187;17.42670462
20/06/2016;182.5532882;14.8004995;17.50113797
21/06/2016;177.8735298;15.64775225;17.57320819
22/06/2016;169.2400708;15.7030969;17.64289394
23/06/2016;158.1945562;15.47472527;17.71017455
24/06/2016;182.5346358;14.00609391;17.77503011
25/06/2016;194.80587;15.43856144;17.83744138
26/06/2016;170.4735706;18.00649351;17.89738988
27/06/2016;128.3545184;18.16373626;17.95485783
28/06/2016;142.5825326;15.76153846;18.00982822
29/06/2016;171.8839878;15.02547453;18.06228475
30/06/2016;177.134912;15.41858142;18.11221188
01/07/2016;156.4139898;15.87952048;18.15959481
02/07/2016;155.775112;18.83706294;18.2044195
03/07/2016;135.3310396;22.95254745;18.24667268
04/07/2016;117.0862038;21.71548452;18.28634181
05/07/2016;119.2315252;23.68361638;18.32341515
06/07/2016;122.1737988;20.34285714;18.35788172
07/07/2016;154.5427066;17.52817183;18.38973128
08/07/2016;198.8191006;17.83526474;18.41895442
09/07/2016;166.2755428;19.79070929;18.44554246
